,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
422,female,Sanghar,rural,28,21.0,0.75
423,female,Sanghar,urban,102,50.0,0.49019607843137253
424,female,Sargodha,rural,86,75.0,0.872093023255814
425,female,Sargodha,urban,59,47.0,0.7966101694915254
426,female,Shahdadkot,rural,82,40.0,0.4878048780487805
427,female,Shahdadkot,urban,140,31.0,0.22142857142857142
428,female,Shangla,rural,101,83.0,0.8217821782178217
429,female,Shangla,urban,105,73.0,0.6952380952380952
430,female,Sheikhupura,rural,73,66.0,0.9041095890410958
431,female,Sheikhupura,urban,66,57.0,0.8636363636363636
432,female,Sherani,rural,46,25.0,0.5434782608695652
433,female,Sherani,urban,266,58.0,0.21804511278195488
434,female,Shikarpur,rural,82,40.0,0.4878048780487805
435,female,Shikarpur,urban,92,39.0,0.42391304347826086
436,female,Sialkot,rural,126,119.0,0.9444444444444444
437,female,Sialkot,urban,85,80.0,0.9411764705882353
438,female,Sibbi,rural,29,17.0,0.5862068965517241
439,female,Sibbi,urban,91,26.0,0.2857142857142857
440,female,Sukkur,rural,73,49.0,0.6712328767123288
441,female,Sukkur,urban,93,35.0,0.3763440860215054
442,female,Swabi,rural,90,70.0,0.7777777777777778
443,female,Swabi,urban,74,57.0,0.7702702702702703
444,female,Swat,rural,101,83.0,0.8217821782178217
445,female,Swat,urban,124,61.0,0.49193548387096775
446,female,T.T. Singh,rural,61,57.0,0.9344262295081968
447,female,T.T. Singh,urban,53,45.0,0.8490566037735849
448,female,Tando Allah Yar,rural,42,32.0,0.7619047619047619
449,female,Tando Allah Yar,urban,44,19.0,0.4318181818181818
450,female,Tando Muhammad Khan,rural,42,32.0,0.7619047619047619
451,female,Tando Muhammad Khan,urban,76,11.0,0.14473684210526316
452,female,Tank,rural,59,51.0,0.864406779661017
453,female,Tank,urban,102,46.0,0.45098039215686275
454,female,Tharparkar,rural,28,21.0,0.75
455,female,Tharparkar,urban,130,40.0,0.3076923076923077
456,female,Thatta,rural,42,32.0,0.7619047619047619
457,female,Thatta,urban,152,35.0,0.23026315789473684
458,female,Tor Garh,rural,58,54.0,0.9310344827586207
459,female,Tor Garh,urban,43,41.0,0.9534883720930233
460,female,Umer Kot,rural,28,21.0,0.75
461,female,Umer Kot,urban,69,12.0,0.17391304347826086
462,female,Upper Dir,rural,101,83.0,0.8217821782178217
463,female,Upper Dir,urban,88,37.0,0.42045454545454547
464,female,Vehari,rural,59,49.0,0.8305084745762712
465,female,Vehari,urban,73,43.0,0.589041095890411
466,female,Washuk,rural,17,12.0,0.7058823529411765
467,female,Washuk,urban,59,21.0,0.3559322033898305
468,female,Zhob,rural,46,25.0,0.5434782608695652
469,female,Zhob,urban,266,58.0,0.21804511278195488
470,female,Ziarat,rural,29,17.0,0.5862068965517241
471,female,Ziarat,urban,91,26.0,0.2857142857142857
