,hhcode,age,idc,sex,marital_status,ever_admitted,currently_enrolled,region,subprovince code,province,subprovince,year
155,1011040201,15,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
156,1011040203,4,55,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
157,1011040205,12,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
158,1011040205,15,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
159,1011040212,15,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
160,1011040212,11,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
161,1011040212,13,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
162,1011040212,10,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
163,1011040302,10,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
164,1011040302,8,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
165,1011040302,6,53,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
166,1011040305,15,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
167,1011040305,15,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
168,1011040307,11,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
169,1011040307,10,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
170,1011040307,6,54,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
171,1011040308,11,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
172,1011040308,9,53,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
173,1011040308,8,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
174,1011040308,5,55,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
175,1011040310,12,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
176,1011040310,10,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
177,1011040310,9,55,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
178,1011040310,6,56,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
179,1011040311,9,52,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
180,1011040311,7,53,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
181,1011040312,13,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
182,1012010102,14,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
183,1012010102,11,54,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
184,1012010102,8,55,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
185,1012010106,15,1,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
186,1012010110,7,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
187,1012010110,5,53,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
188,1012010111,10,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
189,1012010114,12,54,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
190,1012010115,11,3,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
191,1012010116,14,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
192,1012010201,5,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
193,1012010201,5,54,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
194,1012010202,15,4,male,1,no,no,rural,1012,Punjab,Attock ,2011
195,1012010202,12,53,female,1,no,no,rural,1012,Punjab,Attock ,2011
196,1012010202,9,54,male,1,no,no,rural,1012,Punjab,Attock ,2011
197,1012010203,14,2,male,1,yes,no,rural,1012,Punjab,Attock ,2011
198,1012010203,13,3,male,1,no,no,rural,1012,Punjab,Attock ,2011
199,1012010203,8,52,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
200,1012010204,12,2,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
201,1012010204,15,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
202,1012010205,13,1,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
203,1012010205,14,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
204,1012010205,11,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
205,1012010205,8,54,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
206,1012010205,6,55,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
207,1012010205,4,56,male,1,no,no,rural,1012,Punjab,Attock ,2011
208,1012010206,8,52,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
209,1012010206,6,53,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
210,1012010207,9,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
211,1012010207,7,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
212,1012010207,5,54,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
213,1012010208,13,54,female,1,yes,no,rural,1012,Punjab,Attock ,2011
214,1012010208,7,55,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
215,1012010209,7,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
216,1012010209,5,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
217,1012010212,14,4,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
218,1012010214,11,3,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
219,1012010214,13,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
220,1012010214,7,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
221,1012010215,15,2,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
222,1012010216,10,2,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
223,1012010216,9,52,female,1,no,no,rural,1012,Punjab,Attock ,2011
224,1012010216,7,53,male,1,no,no,rural,1012,Punjab,Attock ,2011
225,1012020102,14,2,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
226,1012020102,9,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
227,1012020102,6,54,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
228,1012020103,14,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
229,1012020103,12,54,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
230,1012020105,10,1,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
231,1012020105,12,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
232,1012020106,15,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
233,1012020106,10,54,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
234,1012020107,9,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
235,1012020107,7,53,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
236,1012020109,15,2,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
237,1012020109,12,3,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
238,1012020109,10,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
239,1012020109,8,54,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
240,1012020113,13,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
241,1012020114,4,52,female,1,no,no,rural,1012,Punjab,Attock ,2011
242,1012020115,7,55,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
243,1012020201,15,2,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
244,1012020201,10,54,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
245,1012020202,8,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
246,1012020202,6,53,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
247,1012020204,9,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
248,1012020204,6,54,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
249,1012020205,10,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
250,1012020206,12,2,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
